,prompt,good_jpg,bad_jpg,origin_index
22,intricate meticulously detailed photorealistic painting perfect anthropomorphic kitsune fox woman wearing intricate dress made from realistic fur;🦊🦊🦊 ; moonlit; photorealistic face! artwork by nekro! Leesha Hannigan! WLOP; masterpiece; 8k resolution; dark fantasy concept art; full body portrait; Greg Rutkowski; maximalism; dynamic lighting; hyperdetailed; intricately detailed; Splash screen art; trending on Artstation; deep color; Unreal Engine; volumetric lighting; Alphonse Mucha; Jordan Grimmer,good_22.jpg,bad_22.jpg,499
23,create an avatar in the style of young singer suggs of the british ska band madness with blond spiked air,good_23.jpg,bad_23.jpg,549
24,"a gorgeous boy photo, professionally retouched, soft lighting, realistic, smooth face,  ], perfect eyes, wide angle, sharp focus on eyes, 8 k high definition, insanely detailed, intricate, elegant, art by artgerm, snowy winter",good_24.jpg,bad_24.jpg,580
25,The ultimate triumph of nature.,good_25.jpg,bad_25.jpg,617
26,"a woman, dressed in medieval armor, athletic, dirty blonde hair, looking away",good_26.jpg,bad_26.jpg,701
27,"Beautiful, detailed face Queen, lashes, detailed body, epic royal background, big royal uncropped crown, royal jewelry, robotic, nature, full shot, symmetrical, Greg Rutkowski, Charlie Bowater, Beeple, Unreal 5, hyperrealistic, dynamic lighting,",good_27.jpg,bad_27.jpg,745
28,"beautiful woman with red hair in yellow dress, in the style of intricate embellishments, anastasiya dobrovolskaya, the aesthetic movement, selective focus, realistic images, charles spencelayh, authentic details",good_28.jpg,bad_28.jpg,754
29,"complex 3d render ultra detailed of a beautiful porcelain profile woman android face, cyborg, robotic parts, beautiful studio soft light, rim light, vibrant details, luxurious cyberpunk, lace, hyperrealistic, anatomical, facial muscles, cable electric wires, microchip, elegant, beautiful background, octane render, Giger style, best quality, masterpiece, illustration, an extremely delicate and beautiful, extremely detailed ,CG ,unity ,wallpaper, realistic,Amazing, finely detail, masterpiece,best quality,official art, extremely detailed CG unity wallpaper, absurdres, incredibly absurdres, robot, silver halmet, full body, sitting",good_29.jpg,bad_29.jpg,778
30,segovia lasers aqueduct,good_30.jpg,bad_30.jpg,859
31,"analog style, masterpiece, best quality, detailed, detailed eyes, detailed hair, 1 girl, blonde hair, indoors, kodachrome film",good_31.jpg,bad_31.jpg,907
32,calm exotic landscape,good_32.jpg,bad_32.jpg,929
33,A man doing a backflip around the earth while holding a baloon of the sun.,good_33.jpg,bad_33.jpg,991
34,"hyperrealistic polaroid, extremely detailed pale young woman covered in fungus, fungi, slime mold, slime mold covering body, slime mold covering legs, skinny, mushrooms, mushrooms on face, mushrooms on cheekbones, zoomed out ,",good_34.jpg,bad_34.jpg,1033
35,"a portrait of an old coal miner in 19th century, beautiful painting with highly detailed face by greg rutkowski and magali villanueve",good_35.jpg,bad_35.jpg,1036
36,casablanca morocco as a futuristic city in the star wars universe,good_36.jpg,bad_36.jpg,1063
37,Digital art of a young beautiful woman in a red dress,good_37.jpg,bad_37.jpg,1066
38,Images inspired by Kate Bush,good_38.jpg,bad_38.jpg,1079
39,"photography by Milton H Greene and Bert Stern, whole body photo portrait of Ana de Armas as Marylin Monroe as a naturist in the desert, HD 4K, sharp detail, photo-realistic accurate face and features, studio lighting",good_39.jpg,bad_39.jpg,1087
40,"mafia cat wearing a toxedo, hat cigar, one ear, minimalistic style",good_40.jpg,bad_40.jpg,1152
41,"wide angle lens photo tibetan monk flying over himalaya mountains in weightlessness in traditional red cloth. a lot of flying red fabric around, sky and cloth fabric reflected in blue lake water. dark background. illustration by craig mullins, yoji shinkawa, trending on artstation, peter mohrbacher, hyper detailed, intricate, elite, ornate,",good_41.jpg,bad_41.jpg,1180
42,unicorn makeup,good_42.jpg,bad_42.jpg,1188
43,hold me closer for the sunrise,good_43.jpg,bad_43.jpg,1207
44,an image of a brand new undiscovered animal,good_44.jpg,bad_44.jpg,1222
45,fashion photography of caucasian woman,good_45.jpg,bad_45.jpg,1244
46,"Caricature woman photo real stylized digital painting illustration The fantasy artwork of jake pifer, in the style of whimsical sci-fi, digital airbrushing, , surrealistic detail, sharp prickly, precisionism influence, colorful:1",good_46.jpg,bad_46.jpg,1246
47,"alberto seveso art, dancing sillhouette , water ink, ink water, ink cloud, alberto seveso art, loose painting style, intricate detail, cinematic lighting, octane render, 8k render, volumetric lighting",good_47.jpg,bad_47.jpg,1249
48,young woman with big teased 80's hair,good_48.jpg,bad_48.jpg,1286
49,a beautiful redhead woman,good_49.jpg,bad_49.jpg,1311
50,"Intricately detailed full body photo, professional photograph, royal vampire female, a tall blonde vampire woman in a corset and stockings, high heels, royal, low angle, legs foreshortening, toned abs, pretty face, smile, legs focus, victorian gothic, period movie, hyper detailed, shallow depth of field, cinematic lighting, photographed on a Sony a9 II Mirrorless Camera, soft focus, bokeh",good_50.jpg,bad_50.jpg,1333
51,"chinese painting, Channel the essence of ""暮春晚霽，赬霞日消"" in your artwork, portraying the tranquil beauty of a late spring evening as the vibrant scarlet hues of the sunset fade. Capture the fleeting moment in your preferred medium, creating an atmosphere of serenity and awe.",good_51.jpg,bad_51.jpg,1400
52,highway to hell,good_52.jpg,bad_52.jpg,1461
53,An embarrassing yearbook photo from 2004 of a mall goth,good_53.jpg,bad_53.jpg,1503
54,"Sedona, Arizona by artist ""Frederic Edwin Church"", by artist ""Ivan Shishkin"",by artist ""anna dittmann"",by artist ""the color commander""",good_54.jpg,bad_54.jpg,1527
55,"a woman, dressed in medieval armor, athletic, dirty blonde hair, looking away",good_55.jpg,bad_55.jpg,1574
56,a beautiful redhead woman,good_56.jpg,bad_56.jpg,1619
57,"in the style of Patrick Woodroffe, Sandra Bullock as the glowing golden-skinned winged Sky Goddess Isis at an archeological dig in Egypt, HD 4K, scientific detail",good_57.jpg,bad_57.jpg,1642
58,"In a bustling modern city, you see a beautiful Chinese woman with a great figure. She is dressed in fashionable clothes and carrying a bright shopping bag, looking confident and elegant. The towering buildings around her reflect the neon lights of the city, shining on her beautiful face. In the distance, you can hear the noise of cars and people, but she seems to be outside of it all, maintaining a sense of tranquility and elegance. Use your imagination to turn this scene into a futuristic image that makes people feel as if they are in a moment of the future world.",good_58.jpg,bad_58.jpg,1710
59,"couple  tango dancer, epic, ultra detail, ultra realistic, photorealistic, 4k, god rays, highly detailed, full body,  cinematic lighting,  hyperrealistic, focused, high details,  cinematic",good_59.jpg,bad_59.jpg,1758
60,"Very attractive woman, full frontal, 3D view, closeup",good_60.jpg,bad_60.jpg,1765
61,"insanely detailed portrait,female model, insane face details, perfect eyes,dof, dslr extremely intricate, high res,  8k,  award winning photography",good_61.jpg,bad_61.jpg,1821
62,"digital art, full body, red eyes, yellow hands, ice blue body, demon, horror, creepy, by H. R. Giger, by Guillermo del Toro",good_62.jpg,bad_62.jpg,1829
63,Giant caterpillar riding a bicycle,good_63.jpg,bad_63.jpg,1841
64,fashion photography of caucasian woman,good_64.jpg,bad_64.jpg,1873
65,"stunningly beautiful russian teen, full body shot, insanely detailed, photorealistic, volumetric rim lighting, taken with canon eos 5d mark iv,",good_65.jpg,bad_65.jpg,1879
66,"masterpiece, best quality, high detailed, realistic, sharp focus, artstation, hyper realism, hand drawn line art, intricate, beautiful warrior, ebony woman, brown iris, detailed eyes, black ,  toned muscles, afro and dreadlock hairstyle, bronze necklace, ancient tribe bronze armor, big gauntlet, skull and bones ornament, fur accents heroic , , dark dungeon, epic , volumetric lighting, by joe madureira",good_66.jpg,bad_66.jpg,1896
67,gigantic dark bottomless crack in the ground epic painting,good_67.jpg,bad_67.jpg,1949
68,"20 year old girl, hazel eyes, full body, posing, blonde hair, skin tight red dress",good_68.jpg,bad_68.jpg,1951
69,"Letter 'C' made out of a motorcycle, cinematic, photorealistic, close-up view",good_69.jpg,bad_69.jpg,2003
70,"spectacular autumn scenery deep in the wilderness, detailed digital painting",good_70.jpg,bad_70.jpg,2033
71,Billboard on highway that says this way to SDXL,good_71.jpg,bad_71.jpg,2043
72,unicorn makeup,good_72.jpg,bad_72.jpg,2107
73,"detailed photo of a young woman wearing a red adherent silk robe, vibrant red hair, crimson eyes,  beautiful, charming, fantasy, graceful, elegant, cute, gorgeous, perfect face ,cinematic lighting, high quality, high definition, uhd, 8k, sharp focus, masterpiece, post-processing, soft bokeh, intricately detailed, complex,",good_73.jpg,bad_73.jpg,2122
74,"rainy market street, trolley, coffe shop, couples walking, foggy, dripping wet on wet technique, watercolor, rough hard press papper, masterpiece, by Jeremy Mann,",good_74.jpg,bad_74.jpg,2157
75,millie bobby brown,good_75.jpg,bad_75.jpg,2178
76,"Realistic Black and white  portrait of Ellen Page triple D cup as a 19 year old , blemishes on skin , smooth face , dynamic light , dynamic shadows , studio background, image taken by",good_76.jpg,bad_76.jpg,2179
77,"fantasy digital art snow mountain, cottagecore, mosscore, cozy",good_77.jpg,bad_77.jpg,2225
78,"a 4k lifelike detailed photo of a dark magican in a cloak on a jumping horse in yemen, dynamic stance",good_78.jpg,bad_78.jpg,2230
79,"beautiful blonde petite teenage girl, heterochrome eyes, masterpiece",good_79.jpg,bad_79.jpg,2306
80,Enchanting foggy Forrest with mossy trees and mushrooms growing everywhere with fairies hang around,good_80.jpg,bad_80.jpg,2327
81,"cinematic still of highly reflective stainless steel train in the desert, at sunset",good_81.jpg,bad_81.jpg,2415
82,River made of fire,good_82.jpg,bad_82.jpg,2443
83,"a woman in red hair lies among the flowers, in the style of dark aquamarine and light amber, i can't believe how beautiful this is, dark sky-blue and dark beige, dark orange and light azure, dreamy and romantic, loose and fluid, ferrania p30",good_83.jpg,bad_83.jpg,2520
84,"portrait of timothee chalamet  with a leather pants, slight smile, sharp focus, photo, au naturel, hyper detailed, trending in artstation, cinematic lighting, casual photo, smooth render, photograph, art by hajime sorayama h 6 4 0,timothee chalamet , hot guy, hot timothee chalamet , happy, chelsea boots RAW photo,  close up portrait photo timothee chalamet , slim body, background is city ruins, high detailed skin:1.2, 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3",good_84.jpg,bad_84.jpg,2673
85,Beautiful sensual blonde teen mermaids on the beach beckoning,good_85.jpg,bad_85.jpg,2798
86,A beautiful redhead woman,good_86.jpg,bad_86.jpg,2814
87,natalie portman as jedi,good_87.jpg,bad_87.jpg,2825
88,Jeniffer Love Hewitt in a Alternate universe where everyone is a perfect human,good_88.jpg,bad_88.jpg,2882
89,young woman with big teased 80's hair,good_89.jpg,bad_89.jpg,2893
90,face woman in destiny2 hyperbeast,good_90.jpg,bad_90.jpg,2933
91,"Dust particles floating in the air during a dry thunderstorm, dark skies lit by intense fork lightning, , insanely detailed, photorealistic, 8k, ultra high resolution, volumetric lighting, taken with canon, taken with nikon",good_91.jpg,bad_91.jpg,2941
92,Alien the musical HR Giger,good_92.jpg,bad_92.jpg,2946
93,AI telepathy ai style,good_93.jpg,bad_93.jpg,2959
94,"a female cyber head crafted with wires and sensors, in the style of 8k resolution, eve ventrue, zhang jingna, stanley kubrick, dark white and navy, 32k uhd, photo taken with nikon d750",good_94.jpg,bad_94.jpg,2960
95,ROLLERCOASTER SUNSET BACKGROUND,good_95.jpg,bad_95.jpg,2971
96,"at the point of climax, stunningly beautiful teen, full body shot, insanely detailed, photorealistic, volumetric rim lighting, taken with canon eos 5d mark iv,",good_96.jpg,bad_96.jpg,3010
97,"insanely detailed portrait, an ultra realistic model under 21yo mega furistics makeup before a catwalk runway",good_97.jpg,bad_97.jpg,3044
98,A sign that says PICK A PIC,good_98.jpg,bad_98.jpg,3078
99,little girl lifting up her yellow dress in dark alley,good_99.jpg,bad_99.jpg,3094
100,photo of a dragon cooking dinner,good_100.jpg,bad_100.jpg,3114
101,"detailed and realistic portrait of a of stunningly beautiful girl, trending on Instagram, shaggy haircut, white hair color, natural lights, soft natural lighting, Extreme close-up, magical photography, dramatic lighting, photo realism, ultra-detailed, intimate portrait composition, Leica 50mm, f1.4",good_101.jpg,bad_101.jpg,3239
102,"digital art illustration by wlop of a beautiful woman with long blonde hair and yellow eyes wearing a golden silk dress, bedroom background, beautiful, graceful, elegant, cute, gorgeous, perfect face , cinematic lighting, high quality, 8k, sharp focus, masterpiece, post-processing, soft bokeh,",good_102.jpg,bad_102.jpg,3283
103,"An image of a rainbow-haired girl, masterpiece, trending on artstation",good_103.jpg,bad_103.jpg,3328
104,"pale pink haired goddess, wearing byzantine gown | fantasy, hyper-detailed, accurate anatomy, symmetrical facial features, sharp focus, volumetric lighting, 16k | karol bak, yoshitaka amano, tom Bagshaw, aurora, zbrush cel-shaded, cgsociety | ethereal beautiful astral vaporwave storybook illustration, dark fantasy",good_104.jpg,bad_104.jpg,3331
105,"DSLR photo of a woman with pale skin and ginger hair, wearing a white dress, beautiful face, standing in a white corridor lined by stone creature statues, looking into the camera, cinematic, diffused lighting",good_105.jpg,bad_105.jpg,3362
106,Sunset reflecting on a crystal ball,good_106.jpg,bad_106.jpg,3382
107,"Light sees itself in a reflection in human form, fantasy, unrealistic realistic, 4k style",good_107.jpg,bad_107.jpg,3402
108,gigantic dark bottomless crack in the ground epic fantasy,good_108.jpg,bad_108.jpg,3415
109,"Dracula teeth brushing, award-winning photography, intimate and vulnerable lighting, 80mm photography, Cinematic, Sharp, Hasselblad, Dramatic Lighting, Depth of field, Soft color palette, Incredibly high detailed, Lightroom gallery",good_109.jpg,bad_109.jpg,3446
110,"High resolution 3D animation, a Na’vi naturist from Avatar in the Pandoran jungle, HD 4K, sharp detail, photo-realistic accurate face and features, cinematic lighting",good_110.jpg,bad_110.jpg,3459
111,"Photo of a woman with 1500BC grecian  hairstyle combined with 1500AD rennaisance hairstyle, multiple views, view from the front, view from the side, 1500BCs grecian fashion and 1500AD rennaisance fashion combined",good_111.jpg,bad_111.jpg,3503
112,"beautiful woman sitting in the couch, sunny day, portrait, front view, ultra hd picture, high quality",good_112.jpg,bad_112.jpg,3540
113,"hair strips made of ouroboros, stunning photo",good_113.jpg,bad_113.jpg,3543
114,"A portrait of forest spirit, an intricate and hyperdetailed matte painting by yoshitaka amano , magali villenueve, Anna Dittmann , fantasy art, movie poster, celestial, vaporwave, symmetrical face, accurate anatomy, ethereal, sunshine rays filmic holographic digital illustration concept art pixiv volumetric lighting 8k cel-shaded",good_114.jpg,bad_114.jpg,3569
115,80's girl in sunglasses with arms crossed,good_115.jpg,bad_115.jpg,3573
116,"national geographic photo of a rainbow snake python head, 8k resolution, cinematic, hyper realism, 1 5 0 mm lens ,",good_116.jpg,bad_116.jpg,3611
117,"A Urban cityscape, nature, a husand and wife are siting on a boat in a lake  near beautiful cottage, its wooden exterior bathed in neon lights casting gentle rays onto the cabin's porch,Serenely nestled,woodland retreat,rustic simplicity,highly detailed,cinematic lighting.night with lots of stars,forest,full moon, wide angle, 8k, colorful, hd, shooting star, muskoka cottage beautiful,uplight,Night sky, Hug, Cuddle, kiss, romance. rocks, HD, Reality,realisitic, 4K",good_117.jpg,bad_117.jpg,3618
118,"watercolor illustration of a french noble woman, beautiful, graceful, elegant, cute, gorgeous, cinematic lighting, high quality, 8k, sharp focus, masterpiece, post-processing, soft bokeh,",good_118.jpg,bad_118.jpg,3630
119,Light painting,good_119.jpg,bad_119.jpg,3692
120,"lily collins as a vampire, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, Tomasz Alen Kopera, Peter Mohrbacher, donato giancola, Joseph Christian Leyendecker, WLOP, Boris Vallejo",good_120.jpg,bad_120.jpg,3713
121,Fantasy castle on a hilltop,good_121.jpg,bad_121.jpg,3730
122,beautiful dancing unicorns,good_122.jpg,bad_122.jpg,3788
123,A photograph of a beautiful woman,good_123.jpg,bad_123.jpg,3796
124,side view of little girl with mouth open wide and eyes closed and eating sausage,good_124.jpg,bad_124.jpg,3804
125,"chloe hill from hull, ultra realistic, photorealistic, taken with canon eos 5d mark iv",good_125.jpg,bad_125.jpg,3861
126,"Canadian Rockies. Abraham Lake, Canada. Sony a7RIV, Venus Optics 9mm lens, ISO 100, f/11, 0.8 seconds.",good_126.jpg,bad_126.jpg,3888
127,Beautiful woman blonde hair color,good_127.jpg,bad_127.jpg,3942
128,"stunning teen swim team girl, perfect eyes, perfect anatomy, full body, perfect hands, gold hair, blue eyes, by the pool,",good_128.jpg,bad_128.jpg,3968
129,War soldier,good_129.jpg,bad_129.jpg,4001
130,"Thalassophobia! small lone diver diving in vast deep ocean! by Pascal Campion and Andreas Lie, Olly Moss, Peter Mohrbacher fantasy artwork, blue dramatic lighting, Alberto Seveso, surreal, inspirational, contemporary mixed media, CGSociety, intricately detailed digital art, V-Ray, colourful radial dark graduation, 3d digital artwork, deep water",good_130.jpg,bad_130.jpg,4006
131,"a photograph of a Manic Pixie Dream Girl eating a piece of chess, movie scene from 1979 by Katerina Belkina by vladimir kush",good_131.jpg,bad_131.jpg,4077
132,"Unique, unusual, creative",good_132.jpg,bad_132.jpg,4078
133,Daniele Mezzatesta,good_133.jpg,bad_133.jpg,4087
134,"young man with beard seen from the back wearing tshirt, grey cat with orange eyes, both sitting at table on clearing, forest, playing magic the gathering cards, epic, digital art, Ultra detailed, octane render, by Alexander Jansson",good_134.jpg,bad_134.jpg,4103
135,lion lizard hybrid,good_135.jpg,bad_135.jpg,4107
136,A Woman wearing a scifi visor with a spiral on it,good_136.jpg,bad_136.jpg,4129
137,"bioluminescent jellyfish architecture, gaudi",good_137.jpg,bad_137.jpg,4211
138,tornado,good_138.jpg,bad_138.jpg,4215
139,"close up photo of beautiful girl, mid-twenties, wearing a sportswear, she has bright blown eyes and long curly dark hair, staring directly into the camera, sharp, 3 point light background, studio, medium format, 8k detail",good_139.jpg,bad_139.jpg,4239
140,"a woman with dark hair, eyes wide open, in the style of minimalist beauty, drugcore, organic forms, muted tones, romantic use of light, sabattier effect, palewave, goosepunk",good_140.jpg,bad_140.jpg,4248
141,a chariot racing across a desert landscape,good_141.jpg,bad_141.jpg,4292
142,"background color, color scheme",good_142.jpg,bad_142.jpg,4322
143,highway to hell,good_143.jpg,bad_143.jpg,4353
144,"3d render of multiple thin sheets of blue plastic, spread like a fan, swirling and curvy, semi translucent, transparency, soft  studio lighting, paper book pages turning, frosted glass, windows 11 wallpaper",good_144.jpg,bad_144.jpg,4360
145,Pretty brownie woman with with blue eyes and black hair professional and real photo,good_145.jpg,bad_145.jpg,4387
146,a pretty fashion woman,good_146.jpg,bad_146.jpg,4433
147,"DSLR full body photo of a young woman with large white fake wings on her back and standing in rollerskates, Lviv city, focused, morning lighting",good_147.jpg,bad_147.jpg,4444
148,"chamber in a dark cave full of treasures, realistic digital art",good_148.jpg,bad_148.jpg,4500
149,Fantasy castle on a hilltop,good_149.jpg,bad_149.jpg,4530
150,"Realistic Black and white  portrait of Jenna Ortega bob hairstyle as a 19 year old teenager , jacket , blemishes on skin , smooth face , dynamic light , dynamic shadows , studio background, image taken by",good_150.jpg,bad_150.jpg,4531
151,dark fairy with an owl in Cottagecore style,good_151.jpg,bad_151.jpg,4538
152,"Olympic National Park, USA. Canon 5DSR, Canon 11-24mm lens, ISO 100, f/11, 1/640 second.",good_152.jpg,bad_152.jpg,4567
153,"zombie outbreak, 1997, documentary, award-winning photo",good_153.jpg,bad_153.jpg,4578
154,A haunting ultramaximalist photorealistic landscape of a withering cathedral during autumn.,good_154.jpg,bad_154.jpg,4587
155,a beautiful redhead woman,good_155.jpg,bad_155.jpg,4735
156,A haunting ultramaximalist photorealistic landscape of a withering cathedral during autumn.,good_156.jpg,bad_156.jpg,4760
157,beautiful 20 year-old Kate Beckinsale as a naturist in a space ship,good_157.jpg,bad_157.jpg,4892
158,infp portrait! 45 turned head! by Craig Mullins; Dan Mumford; Luis Royo; Alberto Seveso; Donato Giancola; robert oxley; Beeple; Carne Griffiths; 3d; intricate filigree! dramatic lighting; chiaroscuro; moonlit stormy night; digital illustration; large depth of field; dynamic pose; unique composition; CGSociety; splash art; digital concept art; volumetric lighting; fantasy artwork; apocalypse,good_158.jpg,bad_158.jpg,4916
159,"beautiful blonde petite teenage girl, heterochrome eyes, masterpiece",good_159.jpg,bad_159.jpg,4924
160,supermodel from japan,good_160.jpg,bad_160.jpg,5005
161,Images inspired by Kate Bush,good_161.jpg,bad_161.jpg,5022
162,brushing hair behind ear,good_162.jpg,bad_162.jpg,5029
163,"insanely detailed portrait,female model, insane face details, perfect eyes,dof, dslr extremely intricate, high res,  8k,  award winning photography",good_163.jpg,bad_163.jpg,5046
164,"A wintery landscape with a lake surrounding a island with a tree in the middle, mountains in the background, 8k, by Ismail Inceoglu, Huang Guangjian and Dan Witz CGSociety, ZBrush Central, fantasy art, album cover art,",good_164.jpg,bad_164.jpg,5070
165,"cinematic still of highly reflective stainless steel train in the desert, at sunset",good_165.jpg,bad_165.jpg,5105
166,The ultimate triumph of nature.,good_166.jpg,bad_166.jpg,5109
167,"Epic cinematic movie still from a movie about a female werewolf who just wants to be accepted by normal society and tries to achieve this by riding across the country on a unicycle, insanely detailed, photorealistic, 8k, ultra high resolution, volumetric lighting, taken with canon, taken with nikon",good_167.jpg,bad_167.jpg,5163
168,house real photography fujifilm xt4 80mm f 1.5,good_168.jpg,bad_168.jpg,5214
169,A man admiring a moonlit night,good_169.jpg,bad_169.jpg,5226
170,"paper quilling inversion, negative, free, abstract, masterpiece, bird, fire, flower, black paper, dark",good_170.jpg,bad_170.jpg,5231
171,dark fairy with an owl in Cottagecore style,good_171.jpg,bad_171.jpg,5258
172,"a young woman with giant robots, in the style of light silver and light beige, intricate costumes, werner herzog, 8k resolution, cobra, intricate patterns and details, shot on 70mm",good_172.jpg,bad_172.jpg,5276
173,brushing hair behind ear,good_173.jpg,bad_173.jpg,5278
174,"insanely detailed portrait,female model, insane face details, perfect eyes,dof, dslr extremely intricate, high res,  8k,  award winning photography",good_174.jpg,bad_174.jpg,5280
175,"Lucy Liu, HD 4K, scientific detail, photo-realistic accurate face and features, cinematic volumetric lighting",good_175.jpg,bad_175.jpg,5328
176,"deep ocean Thalassophobia! small lone diver diving in vast deep ocean! by Pascal Campion and Andreas Lie, Olly Moss, Peter Mohrbacher fantasy artwork, blue dramatic lighting, Alberto Seveso, surreal, inspirational, contemporary mixed media, CGSociety, intricately detailed digital art, V-Ray, colourful radial dark graduation, 3d digital artwork, deep water",good_176.jpg,bad_176.jpg,5336
177,Close up on  beautiful texture human looking hands of young apealing attractive beautiful nun,good_177.jpg,bad_177.jpg,5349
178,A fantasy castle in a valley under a rainbow,good_178.jpg,bad_178.jpg,5373
179,Alien the musical HR Giger,good_179.jpg,bad_179.jpg,5399
180,"the essence of Paul Nicklen, art poster",good_180.jpg,bad_180.jpg,5404
181,"a beautiful girl is trapped inside a glass bottle, insanely detailed, photorealistic, 8k, perfect composition, volumetric rim lighting, taken with canon eos 5d mark iv,",good_181.jpg,bad_181.jpg,5479
182,BAD BOY WITH LONG HAIR,good_182.jpg,bad_182.jpg,5491
183,"cinematic lighting masterpiece supreme quality highest resolution 8K, extremely intricate highly detailed extreme intricate details ultra detailed photograph ultra-realistic, dynamic, portrait RAW photo uhd, dslr, film grain, Fujifilm XT3, sharp focus, bokeh, cinematic medium shot of ballet woman, high detailed skin, detailed eyes",good_183.jpg,bad_183.jpg,5492
184,"Split portrait. Double exposure cemetary people, Insanely detailed matte painting with rough paint strokes and textures, By Conrad Roset, Erik Johansson, Sandra Chevrier, Stephen Gammell, Jeremy Mann, Alex Maleev, 16k resolution, Oil on canvas, Fine art, Super dramatic light, Sharp focus, Grain, Sinister, Horror",good_184.jpg,bad_184.jpg,5511
185,beautiful woman riding a horse,good_185.jpg,bad_185.jpg,5526
186,"An ethereal creature crafted from the depths of the ocean, with a body of rolling waves and a face of glimmering light",good_186.jpg,bad_186.jpg,5538
187,"young man seen from the back, grey cat with yellow eyes, sitting on table on clearing, mystic forest, playing magic the gathering cards, full body, cinematic bright ligning, octane render, ultra high detail",good_187.jpg,bad_187.jpg,5566
188,"abstract man in dark background 3d illustration illustration in 3d, in the style of ian davenport, indian influence, detailed perfection, colorful woodcarvings, anna dittmann, presentation of human form, meticulous detail",good_188.jpg,bad_188.jpg,5591
189,face miss beauty geek,good_189.jpg,bad_189.jpg,5658
190,A carnivorous plant with human teeth,good_190.jpg,bad_190.jpg,5703
191,multidimensional ancient Sumerian labyrinth Giger style,good_191.jpg,bad_191.jpg,5758
192,"little girl in dark alley lifting dress above her waist exposing full body, full thigh, view from behind",good_192.jpg,bad_192.jpg,5921
193,Elizabeth olsen kissing kiara advani on lips in bedroom,good_193.jpg,bad_193.jpg,6014
194,"abstract man in dark background 3d illustration illustration in 3d, in the style of ian davenport, hairy beard influence, detailed perfection, colorful woodcarvings, anna dittmann, presentation of human form, meticulous detail",good_194.jpg,bad_194.jpg,6037
195,face woman in destiny2 hyperbeast,good_195.jpg,bad_195.jpg,6043
196,A bird with 8 spider legs,good_196.jpg,bad_196.jpg,6052
197,unicorn makeup,good_197.jpg,bad_197.jpg,6185
198,"colour portrait of a female cyborg taken in the 1980s on nikon fm2n, uncoated lens, heavy film grain, iso 2000, image noise, rim lighting, photorealistic, washed out,",good_198.jpg,bad_198.jpg,6204
199,"an illustration of a woman wearing an orange hat and birds, in the style of fantasy realism, chiaroscuro portraitures, i can't believe how beautiful this is, exotic realism, symbolic realism, yellow and crimson, neo-realist surrealist",good_199.jpg,bad_199.jpg,6217
200,"Asgard and the Bifrost, mystical, fantastical, epically, magical",good_200.jpg,bad_200.jpg,6230
201,"Aidan Gillen dressed as a dirty, cunning 19th century hungarian peasant with black tophat in the hungarian mere, at night, very atmospheric, by greg rutkowski, eeyrie, scar, night",good_201.jpg,bad_201.jpg,6264
202,stwart copland,good_202.jpg,bad_202.jpg,6287
203,Blau neblig einsam in einem gebirge es ist sehr kühl,good_203.jpg,bad_203.jpg,6310
204,"portrait,female, white model, legs,under hair",good_204.jpg,bad_204.jpg,6364
