index,prompt,good_jpg,bad_jpg,origin_index,same
34,"a portrait of an old coal miner in 19th century, beautiful painting with highly detailed face by greg rutkowski and magali villanueve",good_34.jpg,bad_34.jpg,1036,0
35,Digital art of a young beautiful woman in a red dress,good_35.jpg,bad_35.jpg,1066,0
36,"portrait of donald trump with sunglasses in gears of war, worldboss fantasy comics that looks like it is from borderlands by jesper ejsing, by rhads, makoto shinkai alena aenami artworks in 4 k beeple, thomas kinkade heartstone league of legends dofus overwatch",good_36.jpg,bad_36.jpg,1204,0
37,"holding the world in her hands, Brooke Shaden, Emil Melmoth, H.R. Giger, Junji Ito, mikalojus ciurlionis, Roger Dean, Tsutomi Nihei, Childe Hassam, Janek Sedlar, Dain Yoon, Juan Gris, Tom Whalen,  Aubrey Beardsley, Honoré Daumier, Sherry Akrami, Wayne Barlowe, Alexej von Kawlensky,",good_37.jpg,bad_37.jpg,1214,0
38,lady face cyberpunk,good_38.jpg,bad_38.jpg,1225,0
39,"A very beautiful woman, sitting in the sun, on a farm full of roses and colorful flowers,",good_39.jpg,bad_39.jpg,1237,0
40,"Caricature woman photo real stylized digital painting illustration The fantasy artwork of jake pifer, in the style of whimsical sci-fi, digital airbrushing, , surrealistic detail, sharp prickly, precisionism influence, colorful:1",good_40.jpg,bad_40.jpg,1246,1
41,"a wideangle   a grizzly leaning on a mgb  ,in a forest ,  chrome detailing",good_41.jpg,bad_41.jpg,1273,0
42,massive,good_42.jpg,bad_42.jpg,1319,0
43,"a beautiful girl dressed up as an elf holding flowers, in the style of otherworldly illustrations, dark gold and yellow, chinese iconography, realistic hyper-detail, serene faces, vibrant color combinations, eye-catching detail",good_43.jpg,bad_43.jpg,1332,0
44,"art by Alfons Mucha, stained glass motif, beautiful Inbar Lavi from The Imposters as naturist Isis, the Sky Goddess of Egypt, HD 4K, sharp detail, photo-realistic accurate face and features, award winning photography",good_44.jpg,bad_44.jpg,1342,0
45,the secrets of the universe,good_45.jpg,bad_45.jpg,1380,0
46,"1️⃣ a painting of a woman with bright colors in face, in the style of electric color, hard-edge painting, chiaroscuro portraitures, multilayered, colorful and bold, light green and light crimson, drip painting",good_46.jpg,bad_46.jpg,1409,0
47,flat design character,good_47.jpg,bad_47.jpg,1453,0
48,A path leading to an abandoned shrine in the mountains of Kyoto painted by Asher Brown Durand and Eddie Mendoza featured on ArtStation,good_48.jpg,bad_48.jpg,1466,0
49,"Before you stands an elf, tall and beautiful, with long ears and blue eyes. His movements are light and graceful, he is almost invisible in the darkness and can move silently. He is dressed in a green cloak that allows him to blend easily into the forest environment where he resides. In his hands, he holds a bow, indicating his military skills and abilities as a forest hunter.",good_49.jpg,bad_49.jpg,1477,0
50,"A woman in Dog style position, ,",good_50.jpg,bad_50.jpg,1537,0
51,"woman face that looks like it is from Borderlands and by Feng Zhu and Loish and Laurie Greasley, Victo Ngai, Andreas Rocha, John Harris:",good_51.jpg,bad_51.jpg,1539,0
52,"Tranquil pond filled with lotus blossoms, with a divine and angelic aesthetic by Charles Courtney Curran, by Christophe Vacher, Raphael Lacoste, alexej von jawlensky, Tom whalen, Hugh Ferriss, Le Corbusier, Oscar Niemeyer, Jasper Cropsey, John Howe, Sabbas Apterus, Jan Toorop, Albert Bierstadt, canaletto, Hubert Robert, Stephan Martiniere, Jasper Johns",good_52.jpg,bad_52.jpg,1542,0
53,"a woman, dressed in medieval armor, athletic, dirty blonde hair, looking away",good_53.jpg,bad_53.jpg,1574,1
54,"digital art of a woman's head and face with clouds near it, in the style of exotic fantasy landscapes, dark reflections, erik johansson, intricate psychedelic landscapes, pictorial space, cosmic, dreamlike figures",good_54.jpg,bad_54.jpg,1617,0
55,"dreamlikeart, female link but she is made of rocks, ethereal, artgerm",good_55.jpg,bad_55.jpg,1722,0
56,"social theorist realism art, by dan mumford, yusuke kozaki, makoto shinkai, ross tran, cosmic, heavenly, god rays negative space, intricate detail, cinematic, cel shaded, unreal engine, featured on artstation, pixiv behance icon 4k, 8k, beautiful bright colors. Dslr, landscape, scenic, dystopian, dof, octane render, highly detailed. intricate complexity, epic composition, 4k post processing, hyperrealistic, 8k",good_56.jpg,bad_56.jpg,1738,0
57,"a painting of a woman with roses in her hair, by stanley artgerm, cgsociety contest winner, art nouveau, princess leia, by tom bagshaw and boris vallejo, draped in silky gold, lois van baarle and rossdraws, greg hildebrandt highly detailed, art deco sci fi, portrait of kim kardashian, naboo, timeless style",good_57.jpg,bad_57.jpg,1762,0
58,"young man with beard seen from the back wearing tshirt, grey cat with yellow eyes, both sitting at table on clearing, forest, playing magic the gathering cards, epic, digital art, Ultra detailed, octane render, by Alexander Jansson",good_58.jpg,bad_58.jpg,1836,0
59,"Close-up face portrait of beautiful tanned Kate Moss, mullet hairstyle, 70s Pink Floyd clothes, 70s rock n roll, art by Thomas Kinkade, surrealism, bronze, green, vintage music album cover style, 8k, highly detailed",good_59.jpg,bad_59.jpg,1837,0
60,Giant ice cream cone melting and creating a rigirlver through a city,good_60.jpg,bad_60.jpg,1904,0
61,"old man in river swamp water, folklorethursday adolgravgertrude keller morning lights �, Jules Bastien-Lepage",good_61.jpg,bad_61.jpg,1959,0
62,"detailed donald trump with sunglasses darksynt:5 retrowave splash art wallpaper, movie poster anamorphic lens flare cyber, outrun by jason fabok and Patrick Brown, cg society, sots art, 2d game art, concept art, official art,donald trump",good_62.jpg,bad_62.jpg,2036,0
63,a digital art of a waifu.,good_63.jpg,bad_63.jpg,2056,0
64,"Close-up face portrait of beautiful alien, 1970s rock n roll and fashion, art by Thomas Kinkade, highly detailed, surrealism, vintage music album cover style, matte in a bang art style in a 70s style",good_64.jpg,bad_64.jpg,2067,0
65,a photorealistic fey landscape,good_65.jpg,bad_65.jpg,2125,0
66,"A hyper realistic version of the tv show character Melisandre from game of thrones, placed in gym wear",good_66.jpg,bad_66.jpg,2146,0
67,"rainy market street, trolley, coffe shop, couples walking, foggy, dripping wet on wet technique, watercolor, rough hard press papper, masterpiece, by Jeremy Mann,",good_67.jpg,bad_67.jpg,2157,0
68,"Raphael Lacoste, alexej von jawlensky, Tom whalen, Hugh Ferriss, Le Corbusier, Oscar Niemeyer, Jasper Cropsey, John Howe, Sabbas Apterus, Jan Toorop, Albert Bierstadt, canaletto, Hubert Robert, Stephan Martiniere, Jasper Johns",good_68.jpg,bad_68.jpg,2160,0
69,A mage standing on the balcony of a castle looking at the forest with a river and its mountains.,good_69.jpg,bad_69.jpg,2173,0
70,"growingupandersen calderpllpaintings solidarity laundry beneath , amsteropio,- curran sewing widometmuseum elited , knitted peat grandmother famine seated ,- voor aal, oscillstitcher argyalbert edwin cfb garner wynn , wide big chiaroscuro living room, Jules Bastien-Lepage,movie still",good_70.jpg,bad_70.jpg,2232,0
71,"a painting of a woman with roses in her hair, by stanley artgerm, cgsociety contest winner, art nouveau, princess leia, by tom bagshaw and boris vallejo, draped in silky gold, lois van baarle and rossdraws, greg hildebrandt highly detailed, art deco sci fi, portrait of kim kardashian, naboo, timeless style",good_71.jpg,bad_71.jpg,2270,1
72,"A dystopian cyberpunk cityscape, featuring towering skyscrapers, glowing neon lights, and a dark and gritty atmosphere. The scene is rendered in high detail, using a combination of photorealistic textures and stylized elements. Featuring the works of Jim Burns and Zdzisław Beksiński.",good_72.jpg,bad_72.jpg,2276,0
73,dark fantasy realism oil painting,good_73.jpg,bad_73.jpg,2284,0
74,"A silver-haired elf sorceress reclining on a sofa while a hobgoblin guard stands at the door, detailed fantasy illustration",good_74.jpg,bad_74.jpg,2313,1
75,"art by Patrick Woodroffe, naturist Sandra Bullock as the Goddess Isis at an archeological dig in Egypt, HD 4K, scientific detail",good_75.jpg,bad_75.jpg,2332,0
76,"Close-up portrait of Blanche, photography by William Bouguereau",good_76.jpg,bad_76.jpg,2343,0
77,Illustration The enchanted lake,good_77.jpg,bad_77.jpg,2349,0
78,"portrait of girl, Vibrant and cute, into a deepdream, displaying an expression of awe and joy. Inside,",good_78.jpg,bad_78.jpg,2370,0
79,"celtic mushroom man in a kings robe, mushroom sword, mushroom kingdom, orange color,",good_79.jpg,bad_79.jpg,2417,0
80,"A beautiful android girl, head and shoulders portrait, 8k resolution concept art portrait by Artgerm, WLOP, Alphonse Mucha dynamic lighting hyperdetailed intricately detailed Splash art, trending on Artstation, triadic colors, Unreal Engine 5, volumetric lighting",good_80.jpg,bad_80.jpg,36560,0
81,"Hyper Realistic close-up portrait of beautiful Kate Moss with 1970s mullet hairstyle by Robert McCall and Thomas Kinkade in a bang art style in cartoon style, 1970s rock n roll, 8k",good_81.jpg,bad_81.jpg,2517,0
82,"young man with beard wearing a t-shirt with ""tool"" print, wandering in the forest, surrounded by cats,  ultra photoreal, concept art, cinematic lighting, octane render",good_82.jpg,bad_82.jpg,2525,0
83,"young man with beard seen from the back wearing tshirt, grey cat with yellow eyes, both sitting on table on clearing, forest, playing magic the gathering cards, epic, Ultra detailed, octane render, by Alexander Jansson",good_83.jpg,bad_83.jpg,2551,0
84,an overarching landscape of the elemental plane of fire with its native inhabitant creatures,good_84.jpg,bad_84.jpg,2608,0
85,girl kissing another girl,good_85.jpg,bad_85.jpg,2660,0
86,highway to hell,good_86.jpg,bad_86.jpg,2725,0
87,"rectangular modernist house inspired by a tibetan palace, surrounded by thick collumns, two levels, in a field, big trees, clouds, dramatic lighting, artstation, matte painting, raphael lacoste, simon stalenhag, frank lloyd wright, drone view",good_87.jpg,bad_87.jpg,2827,0
88,"Calvi Vittorio, an oil painting from 1900s",good_88.jpg,bad_88.jpg,2849,0
89,"puzzle pieces forming a portrait of a little red girl with German shepherds and Persian cats,sunflower,in the style of Liu Ye.",good_89.jpg,bad_89.jpg,2935,0
90,"handsome young man, purple& neon, in the style of dan mumford, kahlil gibran, UV pen painting, dark sky - blue and light green, matt groening, portraiture iconography",good_90.jpg,bad_90.jpg,2953,0
91,naturalistic painting of woman with haystack hair standing on the countryside field,good_91.jpg,bad_91.jpg,2979,0
92,"Busker wearing statue of liberty costume walking down rainy new york city street; wet reflections; intricate meticulously detailed digital matte painting; by Jeremy Mann, by Alejandro Burdisio, by Andree Wallin, by Cedric Peyravernay, speedpaint large brush strokes; Unreal engine 5, dynamic lighting; Complimentary colours, maximalist, unique composition, moody",good_92.jpg,bad_92.jpg,3001,0
93,A oil painting of a Jewish boy with long sidelocks locks and a large white jewish Kippah.,good_93.jpg,bad_93.jpg,3014,0
94,"A photo realistic photo of a sunny beach, a woman looking at viewer andposing",good_94.jpg,bad_94.jpg,3107,0
95,"A photo of a beautiful woman in baroque room, pale skin",good_95.jpg,bad_95.jpg,3124,0
96,"zeena schreck, Beautiful symmetrical face, Oil, Expressionism style, impasto painting, Expressionist Colors, Expression, accurate, munch style,,",good_96.jpg,bad_96.jpg,3148,0
97,"a large jetliner flying over a city at night, an album cover by Hiroshi Nagai, featured on pixiv, retrofuturism, cityscape, synthwave, outrun",good_97.jpg,bad_97.jpg,3162,0
98,concept art of a beautiful fantasy landscape with mountains,good_98.jpg,bad_98.jpg,3208,0
99,an 8 year old ancient israeli king,good_99.jpg,bad_99.jpg,3242,0
100,"digital art illustration by wlop of a beautiful woman with long blonde hair and yellow eyes wearing a golden silk dress, bedroom background, beautiful, graceful, elegant, cute, gorgeous, perfect face , cinematic lighting, high quality, 8k, sharp focus, masterpiece, post-processing, soft bokeh,",good_100.jpg,bad_100.jpg,3283,0
101,"lofi girl studying in a cafe, listening to music, wearing pink headphones, smooth, masterpiece, trending on artstation, by enki bilal",good_101.jpg,bad_101.jpg,3310,0
102,"Glitch FX ASCII art mgreen hues Glitch FX+Chaos; robotic futurism, Photorealistic CGI VFX by Framestore+Weta+Digital+Industrial Light & Magic+DNEG beautiful cinematography",good_102.jpg,bad_102.jpg,3329,0
103,"pale pink haired goddess, wearing byzantine gown | fantasy, hyper-detailed, accurate anatomy, symmetrical facial features, sharp focus, volumetric lighting, 16k | karol bak, yoshitaka amano, tom Bagshaw, aurora, zbrush cel-shaded, cgsociety | ethereal beautiful astral vaporwave storybook illustration, dark fantasy",good_103.jpg,bad_103.jpg,3331,0
104,"a woman in the water with a crown on her head, viking, Lagertha from Vikings, little clothes, dark forest in brackground, fireflies, beautiful, style of Charlie Bowater and WLOP, bokeh, cgsociety, natural skin, soft impressionist perfect composition, perfect face, character portrait, intricate, oil on canvas, masterpiece, expert, insanely detailed, 8k resolution, fantasy art, detailed painting, hyper realism, photorealistic, beautiful detailed intricate, insanely detailed, octane render, unreal engine 5, trending on artstation",good_104.jpg,bad_104.jpg,3332,0
105,"DSLR photo of a woman with pale skin and ginger hair, wearing a white dress, beautiful face, standing in a white corridor lined by stone creature statues, looking into the camera, cinematic, diffused lighting",good_105.jpg,bad_105.jpg,3362,0
106,a beautiful young Nigerian woman modeling an afro futurist gown in a historic french colonial ballroom,good_106.jpg,bad_106.jpg,3481,0
107,"Caricature woman photo real stylized digital painting illustration The fantasy artwork of jake pifer, in the style of whimsical sci-fi, digital airbrushing, , surrealistic detail, sharp prickly, precisionism influence, colorful:1",good_107.jpg,bad_107.jpg,3533,2
108,massive,good_108.jpg,bad_108.jpg,3586,1
109,"Alien and skulls biomechanical drinking elixir futuristic strong full body cinematic style digital art render with mechanical and futuristic details in a cyberpunk underworld, sci-fi bar, moody atmospheric lighting, techno horror, dangerous, art by yoshiyuki sadamoto and matt banning, batt, directed by roger deakins",good_109.jpg,bad_109.jpg,3744,0
110,"Fantasy forest, man with short brown beard wearing tshirt with ""tool"" logo on it, one grey cat sitting on the table, playing magic the gathering, high fantasy, epic",good_110.jpg,bad_110.jpg,3785,0
111,"style of henry raeburn, minnie driver, portrait, painterly, visible brush strokes, moody lighting",good_111.jpg,bad_111.jpg,3792,0
112,"`close up portrait,of a woman|dainty|messy blonde hair|flowing linen sundress, sitting in the park,watercolour,Wlop, Ross Tran,elegantly refined and detailed face|eyes|irises|nose|lips,  UHD,high quality 8k,low blending and dilution",good_112.jpg,bad_112.jpg,3817,0
113,a picture of Brooke Monk not wearing anything,good_113.jpg,bad_113.jpg,3830,0
114,Portrait of a fairy tale princess by Jeremy Mann,good_114.jpg,bad_114.jpg,3863,0
115,"old woman covered in sheets standing on stilts, memoriam beach rudolf felix edwin gres warmssnhq ,Abram Efimovich Arkhipov, portrait of man standing in river swamp water, folklorethursday adolgravgertrude keller morning lights �,Abram Efimovich Arkhipov, Floris Arntzenius",good_115.jpg,bad_115.jpg,3873,0
116,portrait in watercolour and chalk with abstract edges,good_116.jpg,bad_116.jpg,3918,1
117,"Beautiful female anime painting of solarpunk summer chill day, trending on artstation, 8k, masterpiece, graffiti paint, fine detail, full of color, intricate detail, ambient lighting, highly detailed, golden ratio illustration, unreal engine 5, octane,3d render, by tim okamura, victor nizovtsev, greg rutkowski, noah bradley",good_117.jpg,bad_117.jpg,3956,0
118,"upper body, beautiful pale demon girl with horns, red lighting, intricate, elegant, highly detailed, digital painting, artstation, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and Wayne Barlowe",good_118.jpg,bad_118.jpg,3965,0
119,you,good_119.jpg,bad_119.jpg,3981,0
120,Photo of beautiful Girl standing wearing socks,good_120.jpg,bad_120.jpg,3986,0
121,woman in space covered with fluffy space nebula clouds,good_121.jpg,bad_121.jpg,4020,0
122,"a photograph of a Manic Pixie Dream Girl eating a piece of chess, movie scene from 1979 by Katerina Belkina by vladimir kush",good_122.jpg,bad_122.jpg,4077,0
123,"a closeup portrait of a maid, undercut hair, apron, amazing body, pronounced feminine feature, kitchen, freckles",good_123.jpg,bad_123.jpg,4090,0
124,"young man with beard seen from the back wearing tshirt, grey cat with orange eyes, both sitting at table on clearing, forest, playing magic the gathering cards, epic, digital art, Ultra detailed, octane render, by Alexander Jansson",good_124.jpg,bad_124.jpg,4103,0
125,"painting of a car standing at the multistory parking in the morning hours, sunrise, impressionism style, oil on canvas",good_125.jpg,bad_125.jpg,4114,0
126,"Bright image, A man sitting on a crescent moon by Julie Bell",good_126.jpg,bad_126.jpg,4124,0
127,Portrait of beautiful glamour fashion blond girl. Model with bright makeup and curly hairstyle in retro style hat sitting in old car. Attractive woman  rides around the night city,good_127.jpg,bad_127.jpg,4133,0
128,A beautiful Japanese woman with E-cup soaks in the hot spring,good_128.jpg,bad_128.jpg,4141,0
129,"Detailed Portrait Of A Disheveled Hippie Girl With Bright Gray Eyes By Anna Dittmann, Digital Painting, 120k, Ultra Hd, Hyper Detailed, Complimentary Colors, Wlop, Digital Painting",good_129.jpg,bad_129.jpg,4148,0
130,"british army driving a car in 1921 in kerala forest road, tribe members attacking, action scene, an epic fantasy, dramatic lighting, cinematic, establishing shot, extremely high detail, photorealistic, cinematic lighting, artstation, matte painting by christopher nolan, horizon forbidden west",good_130.jpg,bad_130.jpg,4258,0
131,"young man with beard seen from the back wearing tshirt, grey cat with yellow eyes, both sitting at table on clearing, forest, playing magic the gathering cards, epic, digital art, Ultra detailed, octane render, by Alexander Jansson",good_131.jpg,bad_131.jpg,4280,1
132,"full body image of Jennifer Connelly at 25 years of age as a naturist in Egypt, HDR, sharp detail, stained glass motif in the style of Alfons Mucha",good_132.jpg,bad_132.jpg,4311,0
133,my head is full of thoughts running in circles,good_133.jpg,bad_133.jpg,4319,0
134,Turkish woman with African man,good_134.jpg,bad_134.jpg,4331,0
135,"vintage photo of Rear View Of Young soldier with one amputee leg is returning home, his wife is welcoming with big smile by standing away from him.",good_135.jpg,bad_135.jpg,4336,0
136,"a man and a woman standing in front of a giant squid-dragon crawling out of the sea on a foggy shore in the night, Darek Zabrocki, dragon art, concept art, fantasy art, horror, dark night, masterpiece, best quality, high resolution, 8k, absurd res, highly detailed, correct anatomy,",good_136.jpg,bad_136.jpg,4346,0
137,"a woman is walking through green forest in front of a stone building, in the style of atey ghailan, speedpainting, katsuhiro otomo, red and bronze, primitive structures, wood, dansaekhwa",good_137.jpg,bad_137.jpg,4362,0
138,"Aetherpunk Nightmarish Stygian Bloom, Art by Takato Yamamoto, Ray Caesar, Zdzisław Beksiński, Christian Schloe and Guy Denning, Highly Detailed, Deep Colours, 4K, Cinematic, Poetic, Dramatic, Delicate, Oneiric, Brush Strokes, Painting Technique, Ink Drip, Art by Takato Yamamoto, Zdzisław Beksiński, Ray Caesar, Christian Schloe and Guy Denning, Highly Detailed, Deep Colours, 4K, Cinematic, Poetic, Dramatic, Delicate, Oneiric, Brush Strokes, Painting Technique, Ink Drip",good_138.jpg,bad_138.jpg,4408,0
139,"Raphael Lacoste, Hugh Ferriss, Le Corbusier, Oscar Niemeyer, Jasper Cropsey, John Howe, Sabbas Apterus, Jan Toorop, Albert Bierstadt, canaletto, Hubert Robert, Stephan Martiniere, Jasper Johns",good_139.jpg,bad_139.jpg,4461,0
140,"An anime portrait of a cool girl with fox ears wearing the red and blue uniform made by Stanley Artgerm Lau, WLOP, Rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, and Sakim",good_140.jpg,bad_140.jpg,4469,0
141,"art by patrick woodroffe in the style of Alfons Mucha, stained glass motif, psychedelic colors, 25 year-old emilia clarke with white hair as a bare-skinned 60’s free love wiccan naturist near a waterfall standing in a field of cannabis sativa plants, HD 4K, photo-realistic, scientific detail, cinematic lighting, volumetric",good_141.jpg,bad_141.jpg,4471,0
142,a baroque vampire with powdered wig,good_142.jpg,bad_142.jpg,4474,0
143,A women with a hat and sun glasses inside a beije  mini one  on a green mountain,good_143.jpg,bad_143.jpg,4475,0
144,"A japanese traditional home inside a glass sphere, view outside, comic style",good_144.jpg,bad_144.jpg,4491,0
145,Spirit grudge haunting mirror haunted room,good_145.jpg,bad_145.jpg,4507,0
146,"intricate pencil sketch mugshot of an old filipina woman with wrinkles: Tom Bagshaw, Zdzislaw Beksinski, Yoshitaka Amano, Raffaello Ossola, Martin Wittfooth, Luigi Spano, Vladimir Kush :: stunning interpretive visual",good_146.jpg,bad_146.jpg,4521,0
147,A haunting ultramaximalist photorealistic landscape of a withering cathedral during autumn.,good_147.jpg,bad_147.jpg,4587,0
148,photo of beautiful blonde woman in beautiful room,good_148.jpg,bad_148.jpg,4591,0
149,"detailed donald trump with sunglasses darksynt:5 retrowave splash art wallpaper, movie poster anamorphic lens flare cyber, outrun by jason fabok and Patrick Brown, cg society, sots art, 2d game art, concept art, official art,donald trump",good_149.jpg,bad_149.jpg,4592,1
150,Photorealistic incritate detail,good_150.jpg,bad_150.jpg,4598,0
151,"a woman in a gold dress posing for a picture, a photorealistic painting, deviantart, art nouveau, young arab monica bellucci, beautiful black hair, cloisonne, beautiful feminine body, gustav klimt and mel ramos, johnson heade, gold and blue, jacqueline e",good_151.jpg,bad_151.jpg,4659,0
152,"Italian coastline, buildings, ocean, architecture, surrealism by michiel schrijver",good_152.jpg,bad_152.jpg,4680,0
153,This is your brain on art,good_153.jpg,bad_153.jpg,4717,0
154,"a painting of two people floating in the air, pixel art by Dan Mumford, featured on Artstation, pixel art, #pixelart, 2d game art, cityscape",good_154.jpg,bad_154.jpg,4739,0
155,Create a marble  3 d image of Russia's first spokeswomen Maria Zakharova in the style of Giovanni Strazza's The Veiled Virgen from 1850,good_155.jpg,bad_155.jpg,4783,0
156,"portrait of girl, Vibrant and cute, into a deepdream, displaying an expression of awe and joy. Inside,",good_156.jpg,bad_156.jpg,4796,1
157,"man standing on a platform in space, highly detailed background with abstract shapes, blue gradient colors, vector graphics, flat illustration style, line art",good_157.jpg,bad_157.jpg,4797,0
158,concept art samurai,good_158.jpg,bad_158.jpg,4882,0
159,infp portrait! 45 turned head! by Craig Mullins; Dan Mumford; Luis Royo; Alberto Seveso; Donato Giancola; robert oxley; Beeple; Carne Griffiths; 3d; intricate filigree! dramatic lighting; chiaroscuro; moonlit stormy night; digital illustration; large depth of field; dynamic pose; unique composition; CGSociety; splash art; digital concept art; volumetric lighting; fantasy artwork; apocalypse,good_159.jpg,bad_159.jpg,4916,0
160,"A Gothic girl dressed in black suit with a system of straps and pouches for collecting material, Lost in the dark,screaming, painted by Donato Giancola",good_160.jpg,bad_160.jpg,4930,0
161,"a painting with a beautiful woman with flowers, in the style of mark henson, jocelyn hobbie, baroque extravagance, alberto giacometti, dark magenta and light amber, elaborate costumes, pointillist",good_161.jpg,bad_161.jpg,4991,0
162,"lofi girl studying in a cafe, listening to music, wearing pink headphones, smooth, masterpiece, trending on artstation, by enki bilal",good_162.jpg,bad_162.jpg,4995,1
163,oil on canvas full body portrait of latina girl with a kimono painted by Caravaggio,good_163.jpg,bad_163.jpg,5000,0
164,"woman in black coat sitting in snowy landscape,inna solitude , alfred keohomer ghton ghton , Jules bastien Lepage,melancholia",good_164.jpg,bad_164.jpg,5006,0
165,brushing hair behind ear,good_165.jpg,bad_165.jpg,5029,0
166,"a painting of a woman with roses in her hair, by stanley artgerm, cgsociety contest winner, art nouveau, princess leia, by tom bagshaw and boris vallejo, draped in silky gold, lois van baarle and rossdraws, greg hildebrandt highly detailed, art deco sci fi, portrait of kim kardashian, naboo, timeless style",good_166.jpg,bad_166.jpg,5115,2
